"atomic","symbol","name","weight","electronstring","melt","boil","valence","oxidation","discover","expandedconfig","isotopes","density_stp","density_liquid"
"unexpected","unexpected","unexpected","unexpected","unexpected","unexpected","unexpected","unexpected","unexpected","unexpected","unexpected","unexpected","unexpected","unexpected"
"1","H","Водород","1.008","1s1","14.01","20.28","1","-1c,1c","1766","1s1",7,"0.0899","unexpected"
"2","He","Гелий","4.002602","1s2","unexpected","4.22","0","unexpected","1895","1s2",9,"0.1785","unexpected"
"3","Li","Литий","6.94","[He] 2s1","453.69","1615.","1","1c","1817","1s2 2s1",10,"535.","512."
"4","Be","Бериллий","9.0121831","[He] 2s2","1560.","2743.","2","1,2c","1797","1s2 2s2",12,"1848.","1690."
"5","B","Бор","10.81","[He] 2s2 2p1","2348.","4273.","3","1,2,3c","1808","1s2 2s2 2p1",14,"2460.","2080."
"6","C","Углерод","12.011","[He] 2s2 2p2","3915.","3915.","4","-4c,-3,-2,-1,1,2,3,4c","-3749","1s2 2s2 2p2",15,"2260.","unexpected"
"7","N","Азот","14.007","[He] 2s2 2p3","63.05","77.36","5","-3c,-2,-1,1,2,3c,4,5c","1772","1s2 2s2 2p3",16,"1.251","unexpected"
"8","O","Кислород","15.999","[He] 2s2 2p4","54.8","90.2","2","-2c,-1,1,2","1774","1s2 2s2 2p4",17,"1.429","unexpected"
"9","F","Фтор","18.998403162","[He] 2s2 2p5","53.5","85.03","1","-1c","1886","1s2 2s2 2p5",18,"1.696","unexpected"
"10","Ne","Неон","20.1797","[He] 2s2 2p6","24.56","27.07","0","unexpected","1898","1s2 2s2 2p6",19,"0.900","unexpected"
"11","Na","Натрий","22.98976928","[Ne] 3s1","370.87","1156.","1","-1,1c","1807","1s2 2s2 2p6 3s1",20,"968.","927."
"12","Mg","Магний","24.305","[Ne] 3s2","923.","1363.","2","1,2c","1755","1s2 2s2 2p6 3s2",22,"1738.","1584."
"13","Al","Алюминий","26.9815384","[Ne] 3s2 3p1","933.47","2792.","3","1,2,3c","1825","1s2 2s2 2p6 3s2 3p1",22,"2.7e3","2375."
"14","Si","Кремний","28.085","[Ne] 3s2 3p2","1687.","3173.","4","-4c,-3,-2,-1,1,2,3,4c","1824","1s2 2s2 2p6 3s2 3p2",23,"2330.","2570."
"15","P","Фосфор","30.973761998","[Ne] 3s2 3p3","317.3","553.6","5","-3c,-2,-1,1,2,3c,4,5c","1669","1s2 2s2 2p6 3s2 3p3",23,"1823.","unexpected"
"16","S","Сера","32.06","[Ne] 3s2 3p4","388.36","717.87","6","-2c,-1,1,2c,3,4c,5,6c","-499","1s2 2s2 2p6 3s2 3p4",24,"1960.","1819."
"17","Cl","Хлор","35.45","[Ne] 3s2 3p5","171.6","239.11","7","-1c,1c,2,3c,4,5c,6,7c","1774","1s2 2s2 2p6 3s2 3p5",24,"3.214","unexpected"
"18","Ar","Аргон","39.948","[Ne] 3s2 3p6","83.8","87.3","2","unexpected","1894","1s2 2s2 2p6 3s2 3p6",24,"1.784","unexpected"
"19","K","Калий","39.0983","[Ar] 4s1","336.53","1032.","1","-1,1c","1807","1s2 2s2 2p6 3s2 3p6 4s1",24,"856.","828."
"20","Ca","Кальций","40.078","[Ar] 4s2","1115.","1757.","2","1,2c","1808","1s2 2s2 2p6 3s2 3p6 4s2",24,"1550.","1378."
"21","Sc","Скандий","44.955907","[Ar] 4s2 3d1","1814.","3103.","3","1,2,3c","1879","1s2 2s2 2p6 3s2 3p6 4s2 3d1",25,"2985.","2800."
"22","Ti","Титан","47.867","[Ar] 4s2 3d2","1941.","3560.","4","-1,2,3,4c","1791","1s2 2s2 2p6 3s2 3p6 4s2 3d2",26,"4507.","4110."
"23","V","Ванадий","50.9415","[Ar] 4s2 3d3","2183.","3680.","5","-1,1,2,3,4,5c","1801","1s2 2s2 2p6 3s2 3p6 4s2 3d3",26,"6110.","5500."
"24","Cr","Хром","51.9961","[Ar] 4s1 3d5","2180.","2944.","6","-2,-1,1,2,3c,4,5,6c","1797","1s2 2s2 2p6 3s2 3p6 4s1 3d5",26,"7190.","6300."
"25","Mn","Марганец","54.938043","[Ar] 4s2 3d5","1519.","2334.","7","-3,-2,-1,1,2c,3,4c,5,6,7c","1774","1s2 2s2 2p6 3s2 3p6 4s2 3d5",26,"7470.","5950."
"26","Fe","Железо","55.845","[Ar] 4s2 3d6","1811.","3134.","6","-2,-1,1,2c,3c,4,5,6","-1999","1s2 2s2 2p6 3s2 3p6 4s2 3d6",28,"7874.","6980."
"27","Co","Кобальт","58.933194","[Ar] 4s2 3d7","1768.","3.2e3","5","-1,1,2c,3c,4,5","1735","1s2 2s2 2p6 3s2 3p6 4s2 3d7",29,"8.9e3","7750."
"28","Ni","Никель","58.6934","[Ar] 4s2 3d8","1728.","3186.","4","-1,1,2c,3,4","1751","1s2 2s2 2p6 3s2 3p6 4s2 3d8",31,"8908.","7810."
"29","Cu","Медь","63.546","[Ar] 4s1 3d10","1357.77","2835.","4","1,2c,3,4","-7999","1s2 2s2 2p6 3s2 3p6 4s1 3d10",29,"8960.","8020."
"30","Zn","Цинк","65.38","[Ar] 4s2 3d10","692.68","1180.","2","1,2c","1500","1s2 2s2 2p6 3s2 3p6 4s2 3d10",30,"7140.","6570."
"31","Ga","Галлий","69.723","[Ar] 4s2 3d10 4p1","302.91","2477.","3","1,2,3c","1875","1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p1",31,"5904.","6095."
"32","Ge","Германий","72.63","[Ar] 4s2 3d10 4p2","1211.4","3093.","4","-4c,1,2c,3,4c","1886","1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p2",32,"5323.","5600."
"33","As","Мышьяк","74.921595","[Ar] 4s2 3d10 4p3","1090.","887.","5","-3c,2,3c,5c","1250","1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p3",33,"5727.","5220."
"34","Se","Селен","78.971","[Ar] 4s2 3d10 4p4","494.","958.","6","-2c,1,2c,4c,6c","1817","1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p4",30,"4819.","3990."
"35","Br","Бром","79.904","[Ar] 4s2 3d10 4p5","265.8","332.","7","-1c,1c,3c,4,5c,7","1826","1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p5",31,"3120.","3120."
"36","Kr","Криптон","83.798","[Ar] 4s2 3d10 4p6","115.79","119.93","2","2c","1898","1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6",32,"3.75","unexpected"
"37","Rb","Рубидий","85.4678","[Kr] 5s1","312.46","961.","1","-1,1c","1861","1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s1",32,"1532.","1460."
"38","Sr","Стронций","87.62","[Kr] 5s2","1050.","1655.","2","1,2c","1790","1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2",33,"2630.","2375."
"39","Y","Иттрий","88.905838","[Kr] 5s2 4d1","1799.","3618.","3","1,2,3c","1794","1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d1",33,"4472.","4240."
